WAVY_002:media:7,39:127.0.0.1
WAVY_002:media:7,84:127.0.0.1
WAVY_002:media:6,06:127.0.0.1
WAVY_002:media:6,95:127.0.0.1
WAVY_002:media:6,06:127.0.0.1
WAVY_002:media:6,53:127.0.0.1
WAVY_002:media:6,10:127.0.0.1
WAVY_002:media:7,59:127.0.0.1
WAVY_002:media:6,67:127.0.0.1
WAVY_002:media:6,56:127.0.0.1
WAVY_002:media:6,54:127.0.0.1
WAVY_002:media:7,19:127.0.0.1
WAVY_002:media:6,90:127.0.0.1
WAVY_002:media:7,25:127.0.0.1
WAVY_002:media:6,98:127.0.0.1
WAVY_002:media:7,05:127.0.0.1
WAVY_002:media:7,92:127.0.0.1
WAVY_002:media:6,02:127.0.0.1
WAVY_002:media:7,00:127.0.0.1
WAVY_002:media:6,33:127.0.0.1
WAVY_002:media:6,14:127.0.0.1
WAVY_002:media:6,63:127.0.0.1
WAVY_002:media:6,55:127.0.0.1
WAVY_002:media:6,37:127.0.0.1
WAVY_002:media:6,23:127.0.0.1
WAVY_002:media:6,24:127.0.0.1
WAVY_002:media:6,44:127.0.0.1
WAVY_002:media:7,04:127.0.0.1
WAVY_002:media:7,16:127.0.0.1
WAVY_002:media:6,65:127.0.0.1
WAVY_002:media:7,35:127.0.0.1
WAVY_002:media:6,66:127.0.0.1
WAVY_002:media:7,34:127.0.0.1
WAVY_002:media:7,73:127.0.0.1
WAVY_002:media:6,81:127.0.0.1
WAVY_002:media:6,44:127.0.0.1
WAVY_002:media:6,51:127.0.0.1
